Sample,Quantity,n_dom,n_nondom,median_dom,median_nondom,alternative,statistic,p_value
CG4,size_Group_Bary_kpc,36,26,162.63270051221753,149.40856145441103,greater,0.7560635367692795,0.2248055512596333
Control4B,size_Group_Bary_kpc,194,504,450.9326692735261,496.3719704074764,less,-2.81330772595526,0.0024517350513157373
Control4C,size_Group_Bary_kpc,386,317,318.78059202220084,299.46988220594415,greater,0.7744602125823427,0.21932934407915045
RG4,size_Group_Bary_kpc,26,30,339.473821008398,502.0821130094455,less,-2.5300354981960735,0.005702549355190995
CG4,Offset_Bary,36,26,0.5517347671162689,0.5821443419938597,less,-0.17118419700436516,0.4320394665221374
Control4B,Offset_Bary,194,504,0.4464090248315052,0.4816334019621112,less,-2.53298260402138,0.005654828272862887
Control4C,Offset_Bary,386,317,0.40010989322209045,0.4405035679714172,less,-2.5842710900819954,0.004879252934035473
RG4,Offset_Bary,26,30,0.44273465675074275,0.45676122955245163,less,-0.6242944735808493,0.26621710631624734
CG4,Vdisp,36,26,152.83487925697028,163.78279661149895,less,0.3708990935094579,0.6446436548235284
Control4B,Vdisp,194,504,127.44707711367559,143.79678366694435,less,-2.6431851556934434,0.004106505453302268
Control4C,Vdisp,386,317,160.40227553100917,144.14877108041784,greater,2.502906113531176,0.006158910762511668
RG4,Vdisp,26,30,99.2524827741079,87.42339467691203,greater,0.5421504638991587,0.293857428500703
CG4,Voffset,36,26,0.45781270333535745,0.7495553522014107,less,-2.111271763053837,0.017374479823346254
Control4B,Voffset,194,504,0.4847860313593459,0.6095347954637457,less,-2.012977407728488,0.022058503076771502
Control4C,Voffset,386,317,0.5017763531378687,0.5604117876798933,less,-2.568595268911654,0.005105581998791144
RG4,Voffset,26,30,0.6530368266533688,0.654244209318918,less,0.01642880193633814,0.5065538488874072
CG4,Lum_group,36,26,95700049695.61534,104485890631.1557,less,-0.6276753890160056,0.26510830546000846
Control4B,Lum_group,194,504,91000245230.62283,128098543093.66843,less,-11.29764714137708,6.73903953092862e-30
Control4C,Lum_group,386,317,96593589261.95691,106852924735.37274,less,-5.689949850996537,6.3538343436968055e-09
RG4,Lum_group,26,30,70933641995.87756,98161520984.23676,less,-3.7950532472941103,7.380588633844439e-05
