sample,variable,n_matched,n_unmatched,median_matched,median_matched_ci_low,median_matched_ci_high,median_unmatched,median_unmatched_ci_low,median_unmatched_ci_high,median_diff_over_iqr,mannwhitney_p,cliffs_delta
CG4,logM,110,124,10.092590000000001,9.9878175,10.134205000000001,10.732199999999999,10.557324999999999,10.82927,-0.7815466953408484,1.0166570970787327e-15,-0.6082111436950146
CG4,z,110,138,0.0367186095,0.035230812,0.0375342688625,0.0364406075,0.0344662365,0.037375284,0.03176960391874095,0.9099169577733762,0.00843214756258237
CG4,sSFR,108,122,-10.70873705,-11.4880675,-10.339127158750001,-12.1223405,-12.2101835,-11.9640690125,0.7380879636740062,5.927816412696455e-11,0.5004553734061932
CG4,M_r,110,138,-20.1116895,-20.381900374999997,-20.0098175,-21.391936,-21.7706668875,-21.083525,0.7222441220013434,1.822597407887048e-14,0.5666666666666667
Control4B,logM,931,1710,10.21908,10.17573,10.267619,10.828710000000001,10.804865,10.851218375,-0.8119522655230305,1.0168652458442892e-132,-0.5765924837155545
Control4B,z,931,1861,0.035393873,0.034804368,0.036145772,0.035013132,0.034549327,0.03551457845,0.03546001764055309,0.25857955464078464,0.02618910060135371
Control4B,sSFR,926,1686,-10.336564039999999,-10.4198459,-10.27702486,-12.020697949999999,-12.06954785,-11.971303834999999,0.9538383397203738,7.262187659607484e-131,0.5749226894588646
Control4B,M_r,931,1861,-20.608104,-20.701573,-20.535245600000003,-21.612288,-21.688824,-21.55806,0.688144749806024,5.369578100461663e-103,0.4995298948222633
Control4C,logM,1153,1495,10.05176,10.02308,10.08331,10.74307,10.71093,10.79237,-0.743116356815383,8.132753642006943e-156,-0.6018889214409407
Control4C,z,1153,1659,0.035536363,0.0348188058,0.036142312,0.035144378,0.034551293,0.035585866,0.03662570278548468,0.19511133885119014,0.028685814242479957
Control4C,sSFR,1148,1473,-10.4335704,-10.49204,-10.34765639625,-11.958941,-12.008147,-11.913956,0.8488783254102605,7.072602093468274e-135,0.5619200191129057
Control4C,M_r,1153,1659,-20.121154,-20.18627905,-20.043377200000002,-21.41748,-21.509365525,-21.305526,0.6766697429301621,1.0198501801708305e-131,0.5406955255232178
RG4,logM,102,117,9.833771500000001,9.7011505,9.965709,10.69378,10.59563,10.82187,-0.8293107338748869,8.773633573421447e-18,-0.6733702027819675
RG4,z,102,122,0.0395322625,0.0378799628125,0.040527587000000004,0.0405611685,0.039245747,0.0426590445,-0.1104429098204125,0.23186833574681232,-0.09289617486338797
RG4,sSFR,102,117,-10.1517898,-10.30326551,-9.96534770625,-11.679001,-11.8159989,-11.578947,0.8567507008662448,2.162304181982585e-16,0.6438746438746439
RG4,M_r,102,122,-19.906057,-20.081194500000002,-19.6812958625,-21.341078000000003,-21.8194175,-21.015351,0.6694885077681118,1.4028908199149313e-14,0.597557055609129
