predictor,subset,model,status,interaction_beta,interaction_p,interaction_p_bh,flag_bh,n_used,interpretation_flag,reason
Delta_m12,all,unadjusted,ok,0.2697159094916932,0.38836351873429487,,,399,no_detected_difference,
Delta_m12,all,adjusted,ok,0.1035158976697071,0.7437078320688455,0.8219928670234609,not_significant,399,no_detected_difference,
Delta_m12,bgg,unadjusted,ok,0.5212976710016333,0.4998212295153187,,,100,no_detected_difference,
Delta_m12,bgg,adjusted,ok,0.35053916625954273,0.6691241585573373,0.7806448516502269,not_significant,100,no_detected_difference,
Delta_m12,satellites,unadjusted,ok,0.26668432092141414,0.4382260952561463,,,299,no_detected_difference,
Delta_m12,satellites,adjusted,ok,-0.19982260615228337,0.6066097267073327,0.749341427109058,not_significant,299,no_detected_difference,
f_L_BGG,all,unadjusted,ok,2.5844751392952947,0.16858955575662327,,,399,no_detected_difference,
f_L_BGG,all,adjusted,ok,1.7778095168267667,0.3497747483759359,0.6121058096578879,not_significant,399,no_detected_difference,
f_L_BGG,bgg,unadjusted,ok,5.739128151713804,0.18653527116829893,,,100,no_detected_difference,
f_L_BGG,bgg,adjusted,ok,4.585668816907584,0.3213806685599966,0.6121058096578879,not_significant,100,no_detected_difference,
f_L_BGG,satellites,unadjusted,ok,2.0552710786164283,0.33225974908781863,,,299,no_detected_difference,
f_L_BGG,satellites,adjusted,ok,-0.3917761766759983,0.8655732404651898,0.9088519024884493,not_significant,299,no_detected_difference,
class,all,categorical_interaction,skipped,,,,,210,inconclusive,class_labels_not_available_in_both_samples
class,bgg,categorical_interaction,skipped,,,,,53,inconclusive,class_labels_not_available_in_both_samples
class,satellites,categorical_interaction,skipped,,,,,157,inconclusive,class_labels_not_available_in_both_samples
