Sample,Domination,Quantity1,Quantity2,Spear_corr,Spear_pval
Control4C,True,Offset_Bary,Vdisp,-0.11021286741339267,0.011347583703700008
Control4C,True,Vdisp,Lum_group,0.36035519880153044,1.3251168911453692e-17
Control4B,False,Vdisp,Lum_group,0.3403780991561242,3.892112878918608e-15
Control4C,False,Vdisp,Lum_group,0.24011851377322235,0.00028688384627130145
Control4B,True,Vdisp,Lum_group,0.24207533292518066,0.0006722565654812398
Control4C,True,Vdisp,Voffset,-0.22218888949377907,2.5619616037016036e-07
Control4B,False,Vdisp,Voffset,-0.10106827212116273,0.023258823171631277
CG4,False,Voffset,Lum_group,0.41880341880341876,0.03321616373154643
Control4B,False,size_Group_Bary_kpc,Lum_group,0.4480320341037229,2.9675609547629714e-26
Control4B,True,size_Group_Bary_kpc,Lum_group,0.5343016686320996,1.027980386983357e-15
RG4,False,size_Group_Bary_kpc,Lum_group,0.5105672969966629,0.003941006133564191
Control4C,True,size_Group_Bary_kpc,Lum_group,-0.11644232528822107,0.007453629813655489
RG4,True,size_Group_Bary_kpc,Lum_group,0.4782905982905982,0.013453309507056989
Control4B,False,size_Group_Bary_kpc,Offset_Bary,-0.10886636803413376,0.014475298310072444
CG4,True,size_Group_Bary_kpc,Offset_Bary,-0.39433719433719444,0.017319104790983343
Control4C,True,size_Group_Bary_kpc,Vdisp,-0.39576857637784335,3.30577066528943e-21
Control4C,False,size_Group_Bary_kpc,Vdisp,-0.41058189194960504,1.6069499002101252e-10
CG4,True,size_Group_Bary_kpc,Vdisp,-0.3477477477477478,0.037690058886870735
